r,y,pii
1.41,7.894976311,0
1.47,7.911123119,0
2.15,7.924480494,0.74906367
2.5,7.93048027,-0.371747212
2.3,7.926614151,0
2.42,7.934825736,1.492537313
2.91,7.934007605,0.735294118
3.22,7.950233805,0.729927007
2.96,7.956657931,0.724637681
3.22,7.954437579,1.079136691
3.46,7.964130336,0.711743772
2.75,7.953826478,0.35335689
1.1,7.927560263,1.408450704
0.75,7.934136602,0.347222222
2.7,7.956992432,0
2.68,7.980113937,0
2.78,7.998546731,0
3.14,8.022572555,0.692041522
4.1,8.020644827,0.687285223
4.4,8.024568914,0.341296928
3.02,8.046601229,0
2.19,8.042799138,0.680272109
2.3,8.045285992,0
2.2,8.033106865,0.675675676
2.42,8.039883256,0
2.27,8.058301357,0
2.23,8.074837725,0.67114094
2.67,8.094902422,0
2.75,8.112753457,0.333333333
2.9,8.123470668,0.332225914
2.74,8.132951172,0.662251656
2.92,8.136824322,0
2.91,8.147890278,0.328947368
2.99,8.160842195,0.327868852
3.37,8.180174926,0.326797386
3.51,8.187286475,0.651465798
3.51,8.208684544,0
3.47,8.220505893,0.323624595
3.55,8.233997573,0.322580645
3.82,8.237537223,0.321543408
3.93,8.261901378,0.320512821
3.81,8.275479783,0.958466454
4.02,8.295586459,0
4.49,8.318896143,0.632911392
4.52,8.343289941,0.943396226
4.58,8.347376403,0.934579439
5.34,8.354474713,0.925925926
4.81,8.363011644,0.611620795
4.01,8.372150309,0.303951368
4,8.373027165,0.909090909
4.39,8.381622693,0.900900901
5.04,8.389640008,0.892857143
5.17,8.409743606,1.179941003
5.3,8.426489625,1.166180758
5.16,8.433666355,1.152737752
6.25,8.438107342,1.13960114
5.99,8.453536841,1.690140845
6.29,8.456738905,1.385041551
7.14,8.46297837,1.366120219
8.01,8.45860366,1.617250674
6.38,8.456829835,1.326259947
6.49,8.458597722,1.570680628
5.84,8.467417272,1.030927835
4.85,8.457078152,1.530612245
3.64,8.483501756,0.502512563
5.22,8.489192403,1.5
4.6,8.49698028,0.492610837
3.68,8.499896665,0.735294118
3.83,8.517680273,0.729927007
4.06,8.540573333,0.724637681
4.55,8.549747115,0.959232614
5.14,8.566216852,0.950118765
6.4,8.590536957,1.882352941
7.52,8.601810772,2.07852194
6.98,8.596361979,2.262443439
7.46,8.605642983,2.212389381
8.28,8.597301866,3.463203463
7.34,8.599927351,2.510460251
6.12,8.590198084,3.265306122
7.06,8.586190383,2.56916996
5.53,8.574035422,1.541425819
5.86,8.581710462,1.707779886
6.58,8.598101432,1.865671642
5.2,8.611493043,1.648351648
4.97,8.633823563,0.720720721
5.37,8.641350888,1.610017889
5.06,8.646422644,1.408450704
4.34,8.653900386,1.041666667
4.54,8.665468358,2.233676976
4.98,8.684904706,2.016806723
5.89,8.702441461,1.153212521
6.13,8.702546481,1.140065147
6.47,8.706019877,2.093397746
7.01,8.744163491,2.839116719
7.98,8.753895131,1.993865031
9.26,8.767218255,1.804511278
9.44,8.769203111,3.101920236
8.95,8.770413003,3.581661891
10.12,8.777567785,3.181189488
12.04,8.780153278,2.815013405
14.24,8.783382746,4.43285528
7.88,8.762892909,3.245942572
11.44,8.761376565,1.571946796
14.3,8.779739593,2.738095238
12.46,8.800223361,2.549246813
14.28,8.792894126,2.372881356
14.34,8.804303801,2.869757174
11.08,8.7925689,0.858369099
13.26,8.775699717,0.531914894
12.76,8.781132676,2.645502646
7.62,8.777524622,0.927835052
7.92,8.778499666,-0.306435138
8.64,8.79151263,0.307377049
